method,K,run,seed,silhouette,calinski_harabasz,davies_bouldin,n_iterations,converged
kmeans,2,1,1201,0.15577556800747827,9782.089795987544,2.277260292639819,39,True
kmeans,2,2,1202,0.15577556800747827,9782.089795987544,2.277260292639819,51,True
kmeans,2,3,1203,0.15533781822205897,9782.07651305668,2.2790455503151668,68,True
kmeans,2,4,1204,0.15533781822205897,9782.07651305668,2.2790455503151668,80,True
kmeans,2,5,1205,0.20544984438587474,7215.424456960596,1.8601295783158704,5,True
kmeans,2,6,1206,0.20544984438587474,7215.424456960596,1.8601295783158704,5,True
kmeans,2,7,1207,0.15533781822205897,9782.07651305668,2.2790455503151668,93,True
kmeans,2,8,1208,0.15577556800747827,9782.089795987544,2.277260292639819,50,True
kmeans,2,9,1209,0.15577556800747827,9782.089795987544,2.277260292639819,53,True
kmeans,2,10,1210,0.13256057850599673,9972.402471724105,2.25846976129764,44,True
kmeans,3,1,1301,0.15180738540862868,9367.782356362728,2.060498708015443,27,True
kmeans,3,2,1302,0.15180738540862868,9367.78235636273,2.060498708015443,27,True
kmeans,3,3,1303,0.15186185237803235,9367.78172474022,2.0599253157140227,40,True
kmeans,3,4,1304,0.18471696997243425,9195.336535039512,1.9244435673915923,29,True
kmeans,3,5,1305,0.15186185237803235,9367.781724740218,2.0599253157140227,26,True
kmeans,3,6,1306,0.15180738540862868,9367.78235636273,2.060498708015443,27,True
kmeans,3,7,1307,0.15186185237803235,9367.781724740222,2.0599253157140227,19,True
kmeans,3,8,1308,0.15180780008667286,9367.782212417169,2.0604620554032453,21,True
kmeans,3,9,1309,0.18471696997243425,9195.336535039512,1.9244435673915923,43,True
kmeans,3,10,1310,0.14795258422557153,9087.255319837219,1.9385515474438633,95,True
kmeans,4,1,1401,0.10762896050392025,7112.277481408699,2.155625988333612,21,True
kmeans,4,2,1402,0.17130695397174323,9571.156082920756,1.796892310975795,43,True
kmeans,4,3,1403,0.1468148262074189,9498.749470970013,1.8901221078593498,37,True
kmeans,4,4,1404,0.1468148262074189,9498.749470970013,1.8901221078593495,30,True
kmeans,4,5,1405,0.1468179647924577,9498.749496287968,1.8901003050894167,32,True
kmeans,4,6,1406,0.14681111170093075,9498.749516034204,1.8901155949008115,18,True
kmeans,4,7,1407,0.1714985427707282,9571.150661792097,1.795809476086605,19,True
kmeans,4,8,1408,0.14674812591614436,9498.746162519425,1.8894326317574215,21,True
kmeans,4,9,1409,0.1468148262074189,9498.749470970011,1.8901221078593498,33,True
kmeans,4,10,1410,0.17130695397174323,9571.156082920756,1.796892310975795,38,True
kmeans,5,1,1501,0.16326521835926108,7630.649865034956,2.011962949513918,23,True
kmeans,5,2,1502,0.1647093180411543,10173.99653188569,1.6906654063747262,19,True
kmeans,5,3,1503,0.1646983040105734,10173.9965533799,1.6907379739217627,50,True
kmeans,5,4,1504,0.1647078387699963,10173.996524660231,1.6906407412536488,40,True
kmeans,5,5,1505,0.1646983040105734,10173.9965533799,1.6907379739217627,47,True
kmeans,5,6,1506,0.1646983040105734,10173.996553379902,1.6907379739217632,70,True
kmeans,5,7,1507,0.16469273425851452,10173.996720064306,1.6907413246838494,19,True
kmeans,5,8,1508,0.1646983040105734,10173.996553379904,1.6907379739217627,60,True
kmeans,5,9,1509,0.1646983040105734,10173.996553379904,1.6907379739217627,53,True
kmeans,5,10,1510,0.16469273425851452,10173.996720064306,1.6907413246838494,19,True
kmeans,6,1,1601,0.1339338588952932,9362.047016932525,1.7911177497324478,38,True
kmeans,6,2,1602,0.13289008840644767,9378.836247732694,1.7907865295962742,27,True
kmeans,6,3,1603,0.16437219785529883,8844.145597295434,1.7205026447905034,30,True
kmeans,6,4,1604,0.1611333874920274,8843.854157532007,1.7115678363693567,39,True
kmeans,6,5,1605,0.13324791039285877,9362.010737628798,1.789609125071234,39,True
kmeans,6,6,1606,0.133934010295059,9362.047107855362,1.7911012282029333,39,True
kmeans,6,7,1607,0.13288521235065978,9378.836304532882,1.790748174846091,19,True
kmeans,6,8,1608,0.1333999723966871,9362.111530831711,1.7902525843945167,32,True
kmeans,6,9,1609,0.13288430989988026,9378.836241218276,1.7907550682763749,18,True
kmeans,6,10,1610,0.1345760197759707,9365.484763838575,1.7966135994147603,53,True
kmeans,7,1,1701,0.13160630532892817,8345.154544891404,1.7760713341125365,22,True
kmeans,7,2,1702,0.14174226712632193,7764.048491938335,2.0703344008866584,20,True
kmeans,7,3,1703,0.13055435682603872,8381.008962741265,1.7922425181983532,31,True
kmeans,7,4,1704,0.12242492355241516,8304.72556843882,1.8651143658071818,35,True
kmeans,7,5,1705,0.12989868153460207,8348.926954085046,1.9580890856188138,94,True
kmeans,7,6,1706,0.14967827711385015,7468.2638997445165,1.8310151744966987,54,True
kmeans,7,7,1707,0.12236670402598601,8332.449626150537,1.899900911093044,32,True
kmeans,7,8,1708,0.13055094851892074,8381.009580369982,1.7922591694085608,19,True
kmeans,7,9,1709,0.1325579678086029,8393.328185228725,1.7802048600038431,33,True
kmeans,7,10,1710,0.13082828141871639,8215.74574293427,1.9611041731041834,35,True
kmeans,8,1,1801,0.12037247344437699,7594.099016481525,1.8911008740375048,30,True
kmeans,8,2,1802,0.12036482918498684,7594.098828013115,1.8911703015557384,41,True
kmeans,8,3,1803,0.10816265318600453,7481.386064269435,2.2252841252298183,22,True
kmeans,8,4,1804,0.12977161279156071,7573.489335861806,1.925499592893305,40,True
kmeans,8,5,1805,0.132584954448825,7343.642188415726,1.8973801423506176,35,True
kmeans,8,6,1806,0.11497496529966088,7488.126780731039,2.027456941484792,47,True
kmeans,8,7,1807,0.1207173666781725,7280.691367415434,1.9916853674585966,41,True
kmeans,8,8,1808,0.11326188802802757,7473.255966959527,1.98391199124989,33,True
kmeans,8,9,1809,0.12257183543827004,7611.187324402026,1.8475200679348882,34,True
kmeans,8,10,1810,0.10113334670231676,7450.540428296815,2.276457134440932,27,True
